comment,complaint_cluster
الاوردر وصل متأخر والأكل بارد جدااا تجربة سيئة جدا بصراحة,
صحن الخضرة مش مغسول كويس، الخضرة طعمها تراب,
فراخ مسلوقة مافهاش تومية حتي,
الاكل ممتاز شكراً لكم,
الطيار جاب الاكل بسرعة وجايبة سخن وجميل الف شكر والمنقوشة كانت احلي مرة,
وحش جدا,جودة_المنتج
اول مره .. العيش بايش والطعم مش حلو زي كل مره .. مش حلو ابدا المره دي,
الاكل كان بايظ ريحته مش حلوه وطعمه مش حلو وبطني وجعتني,
مملح جداً,
باعتنلي الأكل متاكل منه يا مطعم زبالة,
السندوتشات تقريبا فاضيه,
N,
واضح أن البيتزا وقعت منه أثناء التوصيل لانه جت معكوكة في بعضها,
زودو الجبنة شوية بس ❤️😂,
حامضه ومره,
طعم منقوشة سجق كويس إلى حد ما ....أما منقوشة شاورما ف مليان بصل و طعمه وحش,جودة_المنتج
وحش وزفر جداً,جودة_المنتج
طعم الاكل زي الخرة,
الفراخ كانت نشفة جدا,
Didn’t receive it!!!!????,
تقريبا السندويتشات فاضيه و العيش كتير جدا على الحشو القليل.,
الطماطم في الساندويتش ريحتها وطعمها سئ للأسف,
تقريبا اكلت عيش بس كنت طالبه فيلدلفيا و تشكين. العيش طعمه حلو بس 😁 hardly any beef or chicken in my sandwiches,
الحشو قليل جدا للفراخ,
انا بجيب منهم علي طول اول مرة الاكل يبقي سيء كدة! العجينة محروقه و واضح انها بايته من الصبح و متسخنه و متكسرة مليون حته ! ربنا يقل مزاجكم,
البيتزا بدون جبنه,
مجاش واحد كفته و مجاش السجق,
مليان صوص احمر كتير اوى و فراخ قليلة اوى و اول مرة يجى كدة,
الطعم سيء جدا ، والطلب جا ناقص بصراحة مطعم بيسود الوجه . لا انصح بالتعامل معه أبدا,منتج_غير_مكتمل
الخيار حمضان,
فاضيه خالص من جوه,
واضح ان كل الاراء بتتكلم علي ان الحشو فاضي....ليه مع ان الاسعار زادت,
الساندوتش كان محرووووق و ناشف..غير انه تقريبا كان طماطم و خيار و في حتتين سجق و الجبنه مكنتش لاقيها... اول مره يحصل كده عشان ابقي صريح,
الحشو للاسف بقى قليل مكانش كده الاول كان من افضل المطاعم اللى بطلب منها,
البيتزا عشان عليها خصم مرة جت من غير صوص ومرة بفراخ بايتة وطعمها وحش مع ان البيتزا فالطبيعي روعة.. انا زعلت من كده طيب انا عايزة اكل حاجة حلوة حبيتها ومكنتش اعرف ان كود الخصم هيجبهالي وحشة.. خلاص متحطوش خصم اكيد اللي عايز حاجة نضيفة هيقبل يجيبها حتى ...,جودة_المنتج
مطعم سئ جدا جدا انصح بعدم التعامل معة,
افضلها مفرودة فى علبة و ليست مطوية كالسندوتش,
الاوردر وصل غلط وبجد تجربة سيئة,
البيتزا سيئة جدا ومن غير صوص باربيكيو كانت من غير طعم,
حلو بس كمية السجق لازم تزيد .,
انا حرفيا جيلي منقوشة فاضية,
الأوردر جه مقلوب ... التوصيل سيء,
انا طلبت واتحاسبت على زيتون زياده ومحطوش حاجة,
الاوردر أتأخر فوق الساعة وبلغوني بتغيير في الاورد في وقت متاخر جدًا Order arrived 1 hour after expected time and they were extremely incompetent with their support,
انا بطلبها كل يوم بس بقالها فتره مش زى الاول والنهارده حسابى بارده وفاضيه من جوه ومحروقة طعمها محروق,
طلبت حلومي و زعتر و جالي المنقوشة كلها زعتر و قطع صغيرة من الجبن عالاطراف . غالية جداا علي انها زعتر,السعر
حد يكلمني لو مش عاوزين اطلب من عندكم تاني مفيش مشكلة في Applications تانيه كتير حد يكلمني,
المنقوشة جبنة محروقة و شايطة ؟؟!!!!؟,
الطعم سئ للغايه,
ساندوتش الحلوم بالزعتر الجبن الحلوم به قليله جدا مقارنة بالزعتر,
وحش اوي الاكل ساعتين عقبال ما جيه,جودة_المنتج
كل حاجه سيأه,
الاكل كان سئ جدا,
الدره طعمها مر و وحش جدا الجبنه قليله مع اني مزوده اضافه جبنه حلوم و دافعه فرق الخس دبلان و مخلي طعم المنقوشه مش حلوه المنقوشة مش رخيصه عشان يطلع كل المشاكل دي,جودة_المنتج
to7fa,
و تم التواصل مع الفرع لتعديل الاوردر و وصل بعد ساعة و نصف,
منقوشة جاية باردة و ناشفة و مفيش جواه تومية ولا مايونيز,
الكميه داخل منقوشه قلت اووووي,
الأكل بارد و طعم ساندوتش الفيلاديلفيا وحش,جودة_المنتج
الحجم صغير الطعام ناشف,
اوسخ مطعم فى العالم !!!!!!! طلبت الاوردر و انا فى التجمع الاول كلمنى بعد ساعة و نص اعتذر انه مش بيوصل ف المنطقة دى مع انى فى كمباوند معروف و بينى و بينه ٩ كيلو,
سندوتش الكفته اللحمه فيه تكاد تكون مفيش لحمه خالص مكنش كده انا بطليه ع طول,
العيش مهرول من غير تمويه و al taste يقرف بجد اخر مره,
شاورما الفراخ مكنش لها اي علاقة بالشاورما، هي سندوتش قطع فراخ بس مش شاورما و منقوشة زعتر باللبنة وحشة جدا. عجين المنقوشة كان محتاج يستوي احسن من كدا او يبقى ارق,جودة_المنتج
ناشفه وبارده جدا,
البيتزا حلوة بس لي تم اضافة درة من غير ما يتم توضيح دة في الاوردر حرفيا اسوا حاجة انة متضاف درة,
انا كاتب عايزه بدون اضافات معينة ، الموظفبن مقروش و جابو ب كل اللي مش بحبه,
فظيع بجد هو السندوتشات صغرت لكن تجنن الحقيقه,
mooooot,
من ساعة ما كلت وانا تعبانة جدا وجالي تسمم، شكرا 🙂,
المنقوشة كانت شبه فاضية بجد والحشو قليل جدا جدا,
وصلني الطلب متبهدل,
الاكل قطع مصاريني,
ياريتهم يحددو الشاورما نوعها ايه علشان انا افتكرتها سيخ,
مالوش طعم و الكفتة قليلة جداً,
اختيار غير موفق نهائى و الأكل بارد و الكميه قليله جدا اخر تجربببببه X,
أبطأ توصيل طلبات في كوكب الأرض,
الاكل كان سئ جداا. كان مالح و مختلف عن الوصف و الشكل اللي محطوطين و اتأخر عن المعاد.,
الاختيار كان اكثر من رائع والتوصيل ممتاز جدا ، شكراً للجميع,
منتهى عدم احترام العميل أو الاهتمام بجودو الطلب بعد استلامه من المطعم و لحين وصوله للعميل. الطلب تم تسليمه و نصف ساعه المندوب بيلف بيه و المفروض اني استلمه وخدمه عملاء عبارة عن رد آلي توفيرا للنفقات. يبقى بعد كل ده نطلب من عندكم ليه(لاخدمة ولا نظافة),
لم يحضر باقي 200 جنيه ولم يحضر اكياس كاتشب زياده والأورد اتاخر عن الوقت المتوقع بنصف ساعه الطعام ممتاز الحةده ممتازه الاكل ساخن تفاصيل بسيطه لكنها مهمه بالنسبه للعميل وشكرا,
سبق وجالي سندويتش فاضي قبل كده .. وكلمني مدير المطعم وبعتله صور ومتمش تعويضي !!! والمره دي اتكرر الموضوع دا في شاورمه الفراخ .. عباره عن سندويتش مخلل وبإضافة قليل جدا من قطع الفراخ الصغيره !!! لإما الطيار بياكل من السندوستش لإما المطعم هو الي كده !!!,
المنقوشة كانت ناشفه و بتفتفت فعلا كانت سيئه,
فلادلفيا ستيك اللحمة قليلة جدا مقارنة لسعرها,
انا بطلبها من زمان اول مره تبقى وحشه,جودة_المنتج
طول عمري بطلب من عندكم كل يوم لاكن من شهرين طعم الاكل بقي وحش جدا و في ملح كتيرو الفراخ نشفه و اما بطلب الحلو الي هو شوكولاته و موز العيش بيجيلي ناشف حجر,جودة_المنتج
الاكل طعموا سيء سواء المناقيش او البيتزا و لا يمت بصله للاكل اللبناني,
المنقوشه اللبنه عباره عن سندويتش لبنه دي مستحيل تكون منقوشه... وحشه جدا.,جودة_المنتج
هوا ازاي يعني التركي محطوط فوق الفطيرة بعد متعملت,
الاكل طعمو سئ جدا و غالى مقارنه بالجودة و الطعم,
بشع .. مقرف لابعد الحدود.. الفلادلفيا مش فلاديلفيا و اللحمه الى فيها مش مستويه و مقرفه جدا,
مطعم سيئ واسعارة مبالغ في وبيخدع عملائة بالصور الزائفه للمنقوشات عبارة عن عينات بتخدع فيها العميل,
المكونات قليلة جدا كأني باكل عيش حاف,
المناقيش فاضية واحدة من غير جبنة و التانية ناشفة و عينات زعتر في الاتنين سيئة جدا,
ج,
اكلهم بقى سئ جدااااااااااااا بشكل مقرف ولما قلت يمكن مرة وخلاص اجرب تانى طلع برده مقرف,
اكل سيئ سيئ سيئ جدا ولا يمت بصله لااكل اللبناني,
H,
تجربة سيئة للغاية الاكل كله كان وحش جدا برغم ان الاوردر كان كبير ومتنوع و بأجماع كل الناس ان الاكل وحش,جودة_المنتج
انا كنت باكل عيش فاضى بالبصل والطماطم,
كل حاجة حلوه الا ان الساندوتش بس مليان خضار اكتر من اللحمة شوية بالنسبة للسعر لكن كل حاجة تانية حلوه و المنيوز مافيهوش غلطة اكتر ابلكيشن بحبه 😻 والناس فيه كويسين و محترمين جدا جدا سواء اللي بيساعدوا او الطيارين 😍,
تجربه وحشه جدااااا الشاورمه اللحمه نيه والطعم سيء البيتزا عباره عن رغيف عيش عليه شوية جبنه وتونه قليله جدا مفيش ضمير اول وآخر مره اطلب من هنا,جودة_المنتج
يعني الشوكلاتة والموز مفيهاش موز وطعم العيش اكتر من الشوكلاتة متلحسة شكولاكة ولا ليها اي لازمة,
الاوردر جه غلط,
كان في شعرة في المنقوشة,
Hotdog makansh fi ketchup w mayonnaise 5alis w il zaatar kan kteer awy w mafeesh ta3m fl haloum,
الاكل بارد جدااا وسلوك الطيار زفت,
أسوأ تجربة للأسف … ساعتين عشان الاوردر يوصل… طبعا الاكل كان متلج … لا مبالاة من مدير الفرع انه حتي يتكلم او يقدم اي اعتذار او اي شكل من الترضية برغم تأكيد الكول سنتر ان مدير الفرع هيتكلم ☹️ تجربة لن تعاد ابدا,
الحشو بالساندوتشات اقل من العادي فقير جيدا,
الاكل سيئ جداً طالبة ٤ مناقيش بالجبنة الحلوم و الbacon جايب ال٤ بالmozzarella و السلامي!! دة غير ان الاكل كله بارد و الجبنة مش سايحة حاطط كله على بعض في عيش و خلاص و طعمه سيئ جداً,
انا طالب اضافة ذره ودافع ولم تضف,
مطعم سيئ جدا طلبت فطاير شيكولاته الاوردر وصل بارد و طعمه سيئ جدا و مافيهوش اي نوع من الشيكولاته او الموز. تقييم سيئ جدا لا أنصح به أحد غالي جدا و طعم لا يطاق,السعر
من أسوأ المطاعم بيتاخر جدااااا في التحضير وكمان جاتلي المنقوشة مقلوبه !!!!,
من أسوأ الاماكن بيتاخر جداااا في التحضير والمنقوشة وصلت مقلوبه !!!!,
زفت سيء جداااا بيتاخر جدا في التحضير وجالي الاوردر مقلوب منقوشة الزعتر مقلوبه من اسواء الاماكن تجربه سيئه جداااا,
سيء جدا الاكل والتحضير بيتاخر جداااا وجالي منقوشه الزعتر مقلوبه !!,
جت لي سجق وانا طالب كفتة,
الشاورما اللحمة عبارة عن سلطة بالشاورما بتاكل سلطة أكتر من الشاورما حاجه سيئة,
روعه,
..,
الطعم مش حلو خالص,
tasty,
الفطاير صغيره اوي على سعرها !!!,
👍🏻,
الاكل وحش اوي و العيش بايت و متقطع كله,جودة_المنتج
السجق قلييييييل جدا و الجبنه كتير حسيت اني اكل سندوتش جبنه مش سجق,
مناقيش اللحمة فيها لحمة قليلة جدا تكاد تكون معدومة مناقيش الزعتر واللبنة محشية جيدا,
الاكل فاصي يعتبر الكميه قليله جدا لي درجه ان حسيت اني باكول منقوشه فضيه,
تحفة,
ناس مش محترمة,
الطعم متغير جداً وبهااارات زياده كان وحش للاسف,جودة_المنتج
الطيار اسلوبه غير لائق في الكلام و رفضت استلم الاوردر و بلغته اني مش هستلمه ومايتكلمش تاني واني هكلم خدمة العملاء اكنسله و برضه جيه و يكلمني يتخانق معايا حتى بعد ماالاوردر اتلغى. للاسف اخر مرة تعامل مع المنيوز بسبب الموقف ده,
السندوتشات طعمها بقا وحش اوى والفراخ مش مستوية كويس بجد متوقعتش الطعم الفظيع ده !,جودة_المنتج
المطعم لم يوصل الطلب,
أرخص مكونات في الدنيا بيستخدموها,
الاكل كان طعمة سئ,
استغفر الله العظيم قسما بالله الاكل ع الزباله زي ماهو,
كل النوتس الى كتبتها ماتعملتش,
الأكل وصل بارد,
البيتزا كان طعمها مايع الطبيعي البيتزا بتاخد زيتون وفلفل وطماطم ديه جايه بالفراخ والمشروم فقط,
كان طعمه مش حلو مش زي كل مره تاني مره اطلب ويطلع مش حلو مع اني عميله من سنين بطلب بصراحه دايما بيكون طعمه جميل جدا,
للاسف الطلب اللي وصل غير صحيح وغير المعروض على التطبيق,
الاوردر طلبته منقوشة لبنة و زعتر و زيادة زيتون مجاش غير منقوشة لبنة بس و يا ريت حاطط بذمة,
الطماطم في الساندويتش حامضة وصلصة البيتزا حامضة جبت منه مره قبل كدا عاجبني جدا للاسف المرة دي كان أسوأ اكل كلته في حياتي,
مقبول,
العيش مكنش فريش ولا طرى اوى الشاورما زفرة,
Ok,
كنت طالب لبنه زعتر وصلتلي زعتر بس,
الاكل كان ني تجربه اكتر من سيئه و رميته في الزباله,
تسلم ايديك يا شيف,
جيد وسريع التوصيل,
ساعتين تأخير,
كل حاجة ممتازة,
الطلب ناقص ميني هوت دوج، ووقت التوصيل كتير جدا تقريبا ساعة ونص,منتج_غير_مكتمل
الاوردر مجاش اصلا !!!,
انا طلبت طبق بيض مع جبنة. الواصل عندى فطيرة بيض بالجبنة,
البطاطس مزيتة ومش عليها اي ملح و المنقوشة معليهاش ملح,
الاكل مزيت,
عاوزه اعدل رأيي بالنسبه للمطعم هو بعت السندوتش نص واحد فقط و قمت بالشكوي عن طريق المنيوز وقعدوا ساعتين مش بيبدلوا السندوتش وبتواصل معاهم بيقولوا هيتم حل المشكله علي ان المطعم هو اللي في تاخير انما اتضح ان المنيوز هي سبب التاهير وانهم مش بيبعتوا اي ...,
بعتوا السندوتش نص واحد و النص التاني بقالي ساعتين مش بييبعتوا بديل مش فاهمه لبه يبعتوه نص واحد حاجه متهي العك الصراحة والاهمال حتي معندهومش حل سريع لارضاء الزبون مطعم زباله,
السعر غالى,
Food was very cold! الاكل بارد جداً,
فشل,
Hm,
ممتاز، سرعة ف التوصيل وجودة ممتازة,
طلبت زعتر وحلوم وتقريبا كانت من غير حلوم. بحبح ايدك شوية يا استاذ ياللي بتحط الجبنة 🙈,
اسواء مره حقيقي يجيلي كده سبيشيال الفراخ انا مكنتش فاهمه الطعم من كتر ما الفراخ كانت مفرومه اوي ومش بينه خالص اكنها تونه بالظبط مكس الطعم مختلف لا تجربه ماكنتيش حلو والحلو برده اول مره اجربها هو مكنش شوكولاته لا كان صوص شوكولاته,
الحشو كان كويس جدا و الطلب وصل في نص ساعة بس للاسف الطعم اتغير عن زمان ، السجق اتغير و طعمه بقى اقرب للكفتة ، و الكفتة طعمها مش زي زمان ، للاسف مانبسطش من الطعم ، دا كان طعمه تحفة زمان,
بدون مبالغه المطعم الوحيد اللي طلبته واكلت وانا مستمتع بكل حاجه شكرا منقوشة,
الاكل كان ناشف و الشاورما كان سئ اكنها فراخ مسلوقه و ملهاش طعم و كمان جيه متأخر,
This time the food was very bad 23/01/22,
جيد جدا,
الاكل بيجي بارد,
الحشو قليل اوي مقابل السعر منقوشه سجق و جنبه,
الطعم المرادي سئ جدا و المنقوشة الجبن سيئة جدا و فاضية و كمان كاتب عليهم الاطعمة غلط بجد تحربة سيئة جدا و مش قيمة مقابل سعر تماما,
يجنن ماشاء لله جاي سخن عجبتني ولله تسلم ايديكم ❤,
غالي جدااااا بس طعمه حلو ولذيذ,السعر
اقل كميه من الفراخ فى الطلب والطلب والبطاطس باردة وقيمه الطلب فى حدود ١٠٠ جم كانت ثمن عيش وخضروات وجبنه. سوف لا يتم التعامل مع هذا المكان,
اول مره في تاريخ منقوشه الاوردر يوصل بالشكل دا الله يعز النعمه الفراخ نيه والصوص فيه حموضه عمري ماتوقعت انه يوصلني اوردر من منقوشه بالشكل دا للاسف مقدرتش اكمل الاكل في حاجه غلط,
جاي بارد بعد ساعة و نص و كمان جايب اوردر غلط,
اوردر مش فرش,
المطعم حلو اوي مناقيش لبناني على اصوله,
it's a bread not man'ouch at all رغيف عيش فى جبنة و زعتر ب 30 جنيه,
worst food ever اللبنة سيئة جدا. الفلدفيا جة بدالها شاورما..بشعة والحشو قليل وعيش كتير جدا,
السعر مبالغ فيه جدا .. سندوتش واحد ب 75 جنيه و بالضريبة و التوصيل معدي ال 100 جنيه !!!!!!!!,السعر
W,
الاكل حلو بس ياليت تزودوا الحشوه او تنزلوا السعر,
سيئ جدا,
تحفه جدااااااااااا بجد الفلادفيا كنت طلبه سبايسي بس مجاش سبايسي بس حقيقي روعه رجاء اضافه سبايسي في اوردري القادم,
طلبت عجينة لحمة لم اجد فيها رائحة اللحمة كأنها عيش فقط تجربة كانت سيئة جدا لى الاسف,
انا طلبت عجينة باللحم جالى الطلب مفهوش ريحة اللحمة كائنى باكل عيش فاضى كان ممكن بكون حاجة جيدة بس لى الاسف ندمت على الطلب,
هو مطعم كويس جداً و انا دايماً بحب اكل منة بس امبارح انا طلبت في الاوردر بتاعي Djeij special و جالي بدالوا كفتة و دة كانت حاجة غريبة جداً بالنسبالي و بسبب كدة انا مدتش ٥ نجوم ولا تشائمت بنجمة واحدة بس ارجوا منكم تاخدوا بالكم المرة القادمة,
السادوتش حراق جدا و مش فاهمه ليه محطوط له شطة اساسا,
غالي ومش حلو,السعر
الاكل كان وحش اوى,جودة_المنتج
اللحمه ناقصه سوا و الطعم كان سئ جدا,منتج_غير_مكتمل
الاوردر خطأ,
Its so warm ! So bad!!!,
سندوتشات عديمة الطعم بمعنى الكلمة... اوردر سئ للغاية,
الاوردر جة فية حاجات زيادة عن الى طلبتها,
الشاورما الفراخ سيئه عبارة عن فراخ مسلوقة وجلد فراخ شئ مقرف حقيقى,
الميني منقوشة منصحش بيها لانها صغيرة جدا و متعتبرش مناقيش منقوشة الجبنة كانت عظيمة,
"wrong order , no label الأوردر غلط",
اللحم بعجين بدون لحمه البصل اكتر والدجاج و جبنه الدجاج كان ناشف بايت و قديم ... الطيار شكله ما بيعرفش يتعامل مع الناس بشكل كويس,
الاكل كله طعمه يقرف🤮,
البيتزا سيئة جدا جدا..........و باقي الاكل طعمه وحش,جودة_المنتج
محتاج بس يزود اللحمه المفرومة شويه لان جزء كبير من فاضى و مش حاطط اضافة البصل,
معجنة و باردة و الحشو قلييل جدا,
الجبنة مع التركي كانت جبنة حمضانه تقريب بجد غير متوقع ان الاقي كدا وانا دايما بطلب منكم,
keep it up.... thanks,
فين منؤشة بتاع زمان,
مفيش موز في منقوشة الشوكلاتة بالموز ، منقوشة الفراخ سبشيال فيها حجات بايتة و منقوشة التركي الخس طري و تقريبا مش مدي طعم و الذرة قليل . مش قد ثمنه خالص,
اللحمة بعجين كانت نيه جداً و اللبنة كانت اقل من المتوسط.. السبانخ كانت هايلة و الزعتر كان متوسط,
الاكل كان بارد شوية,
الفراخ مش مستويه كويس والسندويتش مش مليان فراخ كويس,
الحشو بقي قليل جدا,
الاكل جة ناقص والاكل وحش جدا منصحش اى حد يجيرب التجربة دى,جودة_المنتج منتج_غير_مكتمل
طلبت منقوشة دجاج بالجبنة .. جاية زفرة و باردة و سيئة جدا و اترمت والله . i don't recommend at all,
طلبت بدون مشروم وكانت بمشروم والاكل وجع بطني,
سعر خدمه التوصيل مبالغ فيها,السعر
غالى و مش حلو و مش وحش اقل من العادى الحاجات الفيها فراخ مش وحشة بس مش رخيص,جودة_المنتج
الاكل وحش اوووووووى محدش يطلب منهم تانى,جودة_المنتج
jj,
سىء,
Djeij special كان مليان توم و مخلل طعمه كان بشع الكفته كانت معقوله,
يقرف يقرف يقرف يقرف يقرف عيش حاف مفيش منقوشه اصلا,
أولا ازاى المطعم طلع علب الاكل من غير مايكونوا فى كيس ولما حضر المندوب على اعتبار أن الاكل فى كيس طلبت منه تعليقه فى باب الشقه ويتركه ولما فتحت وجدت الاكل على الأرض حاطك العلب أمام باب الشقه ولا قال إنه مافيش كيس او حاجه خدمه قرف وهاشتكى فى الصحه قرف,
اللحمة عجوزة وبتشد. حقيقي حاجة سىئة جدا. السندوتشات جاية من غير كيس والكيار جايبهم فى ايده. ايه اللى حصلكوا !!!!!,
وحش جدا جدا جدا تضيع فلوس بصراحه...................,جودة_المنتج
العيش معجن الاكل تقيل اوي مقدرتش اكمل نص ساندويتش من تقل العيش حاولو تخلو العيش اخف من كده,
جالنا تسمم بسبب الأكل food poisoning,
جميل,
ممتاز و سخن و حلو بس السعر غالي جدا مقارنة بالمطاعم الأخرى اللى بتعمل مناقيش,السعر
الأكل سئ جدا,
AMAZING 😍😍😍😍😍,
جامد,
مساء الخير الطلب وصل و كان تمام بس كانت الشاورما ناقصة و هي بردو غلطة منى انى مفتحتش الكيس و راجعت الطلب بس من فضلكم المرة اللي جاية ممكن تراجعوا الطلب قبل ما يطلع شكرا لذوقكم جدا و اهتمامكم و متابعتكم و وقتكم و مازال انتوا احسن app شكرا.,منتج_غير_مكتمل
فاخر الساندويتش (فيلى) كان فى حاجه طعمها منديل,
الاكل وحش جدا منقوشة مبقاش زي زمان,جودة_المنتج
المنقوشه محروقه,
سيئ جدا جدا مانصحش بيه الاكل رميته وملوش دعوة بالاكل اللبناني خالص,
بعد ساعتين الغاء الطلب ودى مش اول مره,
كويس جدا,
جرب Djej جامد فشخولياعععععععععع,
مش اوي,
يا خسارة أكلكوا قبل كده كان تحفة دلوقتى بقى ميتتاكلش و منصحش اى حد يجربه دلوقتى خلاص,
الاوردر ما جاش اصلاً,
Tohfaa,
المستوي كل شويه ينحدر حاطين مشروم معلب والذره الحلوه اتلغت الاوردر جاي غلط ودفعت فلوس زياده و اخر مره,
دى أوحش مرة اطلب فيها من منقوشة، الأكل سئ جداً و المكونات مش فريش و المشروم أكثر حاجة فى السندوتش و نوعه بشع و ملوش طعم بجد حاطين مايونيز و شطة بودره و ده مش الطبيعي، دائما لما كنت بطلبه كان بيبقى مليان توابل و فريش و أكبر من كده الضعف كمان.,جودة_المنتج
ايه الهزار ده!؛؛ المنقوشه متقطعه puzzle و التركي عليه كاتشب و حاجه مهزقه,
جالي واحد والتاني الهديه ما استلمتوش,
منقوشه دايما جميله جدا ومشبعه,
المنيوز و منقوشة مستوي عالمي,
كل حاجة كويسة جدا بس الاكل اتأخر اوى، بس هو وصل سخن و طازة شكرا ليكم,
عالمي,
كل حاجة في المطعم سيئة ... طعم الاكل و جودة ... الكميات... التتبيلة للمكونات... وقت التوصيل و الجودة,
To7faaa♥️♥️♥️♥️♥️,
بيتاخر عن المعاد نص ساعه والساندوتش مش حلو الجبنه مش حلوة و فاضي,
الاوردر جيه غلط وفضلوا ٣ ساعات ونص عشان يتغير,
الدليفري سلوكه واسلوبه من أسوأ ما يكون للأسف وبيتذمر وبيزعق,
اكلهم حلو جداً بس اتأخر اوى,
