comment,complaint_cluster
Poor filling,
Good food,
"I ordered extra cucumber, vegetable, and pickle with my halloumi sandwich and it came with nothing",
There was nearly no meat in my sandwich,
Excellent delivery,
Food came cold as the driver was delivering another order and left my order 30 min. at the restaurant. you are becoming worse everytime i order through your app.,
There was no cheese in the man’oucheh as i ordered,
"The order was so late and when I received it, it was dry and not fresh",
The food was cold due too the late delivery,Delivery
"I paid extra 13 egp for spicy manoucheh , and it wasn't added, just paid !!",
i oredered feteera and it came like a shawerma sandwich with an untasty chocolate.. will never repeat the experience.,
Worst experience ever,
There was no chicken in the sandwich and it didn’t taste good,
Thieves,
My favorite restaurant,
"Yu guys changed the food quality, mushrooms are so bad.. like plastic! The hotdog taste..i didnt like my order at all",
I didn’t receive the order.,
Fries were full of oil and very soggy The sujouk was missing sauces and was half empty i was mostly eating bread,
"Quality really went down What a disappointment It’s more like a bland cheese sandwich, there is barely any chicken Also they cut on some of the ingredients like the corn they used to put, so in summery price keeps going up & quality is going downh...",
Portion was not soo good for dejij special,
food was cold,
The meat is raw its not cooked,
I need someone to call me urgently,
The sunk was tasteless.,
Kofta Special .. never gets old ❤️,
And the food is cold,
Perfect,
And support,
"order came very late , cold and burnt",
It came spicy although it was mentioned that I wanted no spicy or hot sauce in my sandwich,
"Mini Man'oucheh are extra mini around 2 - 5 CM, and very expensive to it's size",price
small compare to the price,
Chocolate is not Nutella and it really tastes bad,
Special request was ifnored,
one sandwich is spoilt,
"the food was really bad compared to other times, it also hurt my stomach",
Wrong item came instead of Djeij,Wrong_item
received beef shawerma instead of chicken😡😡,
I didn’t receive the sojouk special,
filling was very little!!!,
The halloumi bacon is not as nice as it always is.. very very little bacon and the halloumi tasted like mozzarella.. it was like tomatoes and mayo sandwich 😔,
Excellent driver,
Djeij special was overcooked,
Wasn’t as expected,
Quality,
"Zaatar labneh had no Labneh inside(i mean that they forgot to add labneh), the fajita djeij was full of cheese and little to no djeij, and wrap itself(the bread) was burnt. This is one of the places that doesn’t have consistency, one time you order a...",
i always order from from there but this time the taste was not the same was very bad not as i used to eat from there as always really the taste is very very bad not as always you used to be the best restaurant in this type of food sorry is last time,
The pizza was totally smashed as if it fell from him or was put the wrong way will delivering,
Order is not complete,Missed_item
It came spicy and with tomatoes and i wrote no spicy and no tomatoes,
Sandwich tasted unfresh not as usual.,
Clean food,
Mix cheese manouche was supposed to have extra tomato and it didn’t,
The sandwich was full of cheese and the extra paid items were missing,
Order is missing cheese on the zaatar maoucheh,
The last 2 times not as usual,
Tasteless and i mentioned without corn yet it came with corn.,
Cheap meat and cheese quality. Sandwiches are half filled,
Asked for no garlic sauce and still got it,
Food came late & cold,
Package was ripped and missing the coca-cola,
complaint already submitted,
Served somehow cold,
"The food is not good , no mozzarella at all as per our request , I’m very disappointed",
"Food quality is getting worse, won't order again from them.",
the restaurant canceled the order without informing me after waiting for an hour!!!,
Good quality,
very expensive delivery cost,price
"This is the second time in a row within a week that I order shawarma without onions and stated that clearly in the order in English and Arabic as well, and the order came with full onions! These guys don’t wanna listen and that’s why they will loose ...",
"they switched to using a very low quality cheese, if it's cheese at all. Tastes like plastic, horrible",Quality
"Ordered meat shawarma notes to be without onions, it came full of extra onions!! Mini pizza is rubbish and not fresh, as if you’re eating a piece of wood due to reheating after the initial bake and very spicy, wondering why a mini pizza should be th...",
Didn't comply to notes as I ordered not spicy with no ketchup and mayo but the order came spicy with ketchup and mayo,
literally no filling just ketchup and mayo,
"worst customer service, wrong order took the money and didn't solve the problem",
The worst service and misconduct that you can have wrong data .. late order for one hour and complaint call with zero output,
food was so bad flavourless and also the meat dough was the worse tasted like it was rotten meat,
The food was a little salty,
"i ordered extra cheese, not added the mushrooms were main ingredient also it was not frech! the sandwich was so cold and not frech by anymean!",
"I had asked for lettuce and it came without, for the third time Also the restaurant wasn’t answering to any phone calls",
Delivery was so late.,
Order came i correct,
"it wasnt fresh, and it was heated in a microwave before sending it out, i expected better quality",
"Food was cold and really bad, don't recommend them anymore",
"The meat portion was too small and it was just dough and mozzarella, such a poor experience",
"It was an old sandwich, it looks like the put it in the microwave. It was cold and tastes very bad",
Degraded quality,
"The food was delicious, came in hot and tasty. The driver was decent and fast. Thank you for this experience !",
"The 2 items were completely wrong , very disappointing.I received spicy minced meat Manoucha and 2 small spicy meat feteer, while I made order for Zaatar and Turkey with cheese Manoucha.I opened the sandwich at 4:30am because I was taking my sehour a...",
Nice,
"Delicious food,Philadelphia is super good",
Was a little saggy,
Sabanekh wasn’t as usual. Types of food are not labeled so I have to unwrap all the food to know what is the difference & give everyone what he asked for & it’s absolutely not nice & annoying.,
Really cheap on the chicken and meat....plus didn't even add the bananas on the chocolate banana...plus doesn't taste that good. Avoid this place,
"The dough was not cooked, taste was awful. Worst sandwich ever!",
Cold dry food and veryyy late order,
Delivery boy was very rude,
Amazing And Perfect Quality... Extremely Recommended 👍,
I recived diffrent order than what uve ordered and it was cold and late,
Missing item,Missed_item
worst shawerma to eat meat shawerma bad taste,
i ordered an extra garlic dip and paid for it and they didn’t send it,
Kofta and sojok jebna are too spicy and this was not mentioned,
Very bad experience with Man’oucheh heliopolis sporting club el shourouq. 2 hours to deliver the order The whole order was too cold Careless response from the branch manager,
It eas not fresh,
Bad,
Shawerma was expired with bad smell “I think that was because of Tahena sauce,
Amazing,
not hot but delicious,
cold food,
"For my taste Zaatar needed extra olive oil, and maybe consider adding vegan cheese to menu.",
"I got food poisoning!!!!! I usually eat Manoucheh and I’ve never had this experience! As usual I ordered from el menus and the sandwich was prepared and ready for delivery very fast by the restaurant, then a runner named Kerls Gamal Saad accepted my ...",
the food was cold,
It didn’t taste well. Low quality ingredients with unjustified high price.,Quality
wasn't good and value vs coast it's not Fair,
Components & tomato tasted broken! Not fresh!,Defective
Halloum didnt arrive,
Muhammara is not spicy at all. Also in the previous order one was missing,
Over price,
Aside from the order taking so long. The comments were sadly ignored 😔,
wasn't fresh,
this is not even close to the pic not even the same thing,
We had stomach pain after eating the food. Both sandwiches had the same effect,
One muhammara was missing. I ordered 4 and received only 3. Also the French fries were too salty,
it tasted like its burnt or expired,
Different dough,
The shawerma meat sandwich tasted good!,
"vold , not fresh, also chocolate banana was tastles",
great,
Always top notch,
Shawarma was more like eating a sandwich salad and occasional shawarma. As for the chicken special - which used to be my fav here - it was really chicken with mozzarella and corn…. Something terribly off with the dressing,
"Didn't bring a plastic bag with the order, only one paper bag which caused the food to be too stiff by the time I started eating",
Wrong process at all,
perfect taste v hot v fresh v professional rider every thing is great except that u didn't bring all the right order as u exchanged my sojok with shawerma,
Cold food,
order came wrong and customer service never called back,
the order was missing one item it was cold and not really fresh the packaging was really bad,
Cold meal,
The haloum was very cold and the cheese was bulky,
"Don’t be confused by low ratings because mostly it’s related to El Menus itself not the restaurants, the app doesn’t even give you option to rate the service but it redirects automatically to rate the restaurant to avoid any bad ratings. Multiple ti...",
slow delivery,Delivery
"order instructions were not fulfilled, very bad quality that never experienced with the restaurant chain & delivery was not that professional. Thanks",Quality
The order is totally wrong,
Portion of the sandwich was little,
"Food was great, but the driver could arrive easily however the address was so easy",
Overpriced and small portioned that is not worth the money. They charge 40 extra pounds marked as taxes and delivery charges.,price
"Very fast delivery and delicious food, Delivery man was so nice and decent. Thank you",
The order didn’t go through the first time due to error from menus and waited from 11 to 12:07 hour i had to wait for another hour and decided to take the order myself from the delivery guy in-front of the branch and i put a complaint,
its a long order they should write which sandwich is which. instead of letting us guess and open each samdwich,
Its only full of cheese with a sniff of chicken or meat!!!!!!i order chicken and kofta to only find cheese!!!!,
All of my family developed diarrhea after eating the last order.,
got sick afterwards,
Perfection,
bad experience,
very good,
please add tissues,
will never order again food was very cold and bad taste,
Manoucheh is amazing,
"cold food, soft drink not cold",
food didn't arrive,
quality not like the last time order very poor,
"Food came cold today , as unusual ☹️",
sausage special is just delicious,
"The shawerma djej did not taste good at all. Most of the filling was something greasy like chicken skin or chicken fat but not meat, i kept on spitting a lot of bites and I was really disgusted of what i was eating. The chocolate and banana had choco...",
Order came missing and I still haven’t received the missing sandwiches two hours later,
The food came missing a sandwich while I paid online for the full order! And now I don’t have all my sandwiches and I paid online so I didn’t get the money back. Epic fail!,
"Sandwiches are different than the description, philadelphia should not contain mushrooms.",
there was no delivery! what s wrong with you,
i ordered jebneh w joubon and i got an only cheese manoucheh. what a disappointment,
chicken and meat shawerma has so little meat inside,
chicken was dry and almost burnt,
good,
It was not spicy as I ordered,
this time was the worst quality of food ever!!,
Fries were burnt and manoucheh was cold,
"the order came very late, it was freezing cold and all the additions i ordered were not there. Worst experience ever",
"Worst experience from elmenus and my last time to order from your application , totally unprofessional",
"I ordered sojouk special I recieved kofta special And it was over cooked, pinch of cheese I am so angry and sad",
"nice, clean, veggies ration was good, mix of chicken, pickles, lettuce, cheese. and tomato, but lacks any type of seasoning I guess, mild and kind sandwich and well wrapped, but can't say it was appealing to my senses",
I didn’t receive all my order and no one answered me!!!,
Good taste,
I didn't receive the order,
"not as expected, sandwich was burned",
One missing and i cant contact the restaurant or Emenus,
Worst service and even worse food. Been waiting for my food for over 2 hours only to call the delivery guy to tell me he sent back my food to the store,
Amazing Food And very Tasty,
"poor packaging, food was not hot",
"Delivery is very very slow and it’s from Elmenus, leads to a cold food",
too late and not hot,
Terrible Left a sandwich after the 1st bite Motilium right after I finished,
this is not the kofta special that we loved 10 years ago. go back to your standards and your old recipe and quality,
The amount of Halloum cheese became too small for the man’oucheh,
The quality wasn’t that great as usual,
"Philly cheese steak was just cheese and bread, no steak.",
It was a bit cold tho,
too bad experience i order one with beef but i not have any beef in just bread empty,
The sandwich was amazing! But the fries was very oily and not fried well,
so expensive,price
"taste of Man'oucheh Shawerma is awful for both Meat and Chicken. Tomato was rotten, cucumber pickles was very bad",
tasteless,
I found a broken piece of glass in my food!,Defective
i didnt receive the order,
The order was 1/4 fulfilled!,
"The zaatar Man’oucheh needed more zaatar, the rest was good.",
I ordered beyd w gebnah bastetma man’oucheh and I got gebnah basterma only The chocolate banana didn’t have banana,
Too much Mozzarella,
Wrong order,
salty,
Very bad delivery guy,
"i asked for it to be not spicy, and it was very spicy!!!",
but it's so expensive,price
"delicious food, greate services",
The portion has decreased significantly,
Dejaj special tasted weird and wasn't spicy as the description on the menu,
the driver didn't deliver all the change from money paid and took more than the amount needed,
Big love,
Taste not as expected,
the staff attitude is terrible and they sent a wrong order and refused to change it,
Delivery man was very professional and very quick,
Very little chicken pieces,
I ordered the food with no pickles and no corn but it still came with both things,
Not enough cheese,
"I ordered a Kofta Speciale and Sojuk we Jebna. Both tastes very different than what I’m used to from them. And the Sujok we Jebna never had pickles in it ever. This time it had pickles which completely spoiled the taste, not to mention that the taste...",
I ordered the food with no pickles but find tons of pickles in it!!,
The behavior of the delivery guy was so bas and not polite at all,
Good food. Terrible Ketchup that ruined the sandwich's taste,
too much mozzarella and too little main ingredients,
Was very bad and not hot and was too late,
delivery fees are too high,
all sandwiches are delicious fresh and clean,
very very bas and we all get sick not only me but 3 of us,
Was not extra spicy,
order was not fresh at all not hot the bread was awful,
delievery fees very high,
Order was missing an item n dough not very fresh,
"They put a rotten, stinking onion, in the 2 shawerma rolls, I ordered. And it was a lot, like half an onion, in each sandwich. The onion also had black spots, that could have easily been mistaken with black fungus, you sick Bastards.",
Order was later than expected,
Fresh and has always been of High Quality.,
it was terrible. the chicken was just very disgusting,
It was basically mayonnaise with chicken,
very very bad food tastes ya33 bgd w el akl m4 ndef w r7to w74a gdn plus en el delivery service we74a gdn bta3 el delivery was very rude,
ordered chicken special without pickles but my note is neglected and I have to open the rolled sandwich and remove the pickles. Very inconvenient,
manouche zatar had a lot of cender and burned part,
"Very good quality, but portions seem to be getting a smaller",
Order came wrong delivery man asked for location that i should send on whatsapp he came didnt have change ir anything,
"The worst ever from both El Menus and Ma'oucheh, order came late and food wasnt as delicious as before as well as it came cold by contacting both CSR they started to through blames on each others and finally i was the only looser.",
Need More Olive Oil for Zaatar,
Order was missing items,Missed_item
Taste and it’s not fresh .. very bad experience this time 🙄🙄,
Good and fresh. I just don’t like Mayo and ketchup on cheese.. Next time I will request my manaeesh without Mayo nor ketchup.,
the baddest experience ever,
Untasteful mana2eesh. The chicken pieces taste awful and were not cleaned well when unskinning and i saw the black vessels in the pieces. The taste was zefra awy and the cheese wasnt melted inaide the manoushè. A big fail,
Delicious food but not hot,
The order was dry and flaky and it arrived cold,
Tasteless and empty and bland. Tried several ones,
super,
I received 2 kofta 1 dejaj The order is missing the soujok,
missing pieces,
i had food poisoning,
The turkey is so thick that change the taste,
rude driver,
Very late,
I received wrong order,
I have a problem with the receipt.. Please I need someone to call me urgently..,
"Amazingggg ❤️ Always love their quality food, not too oily like other fast food chains.",
Tasteless,
Amazing experience,
Order was missing,
Chocolate w banana was without banana,
"The food came late, was cold & also missing",
"Best experience with Lebanese food ever, it’s my first comment to make a review, bgad teslam edeeko very delicious 🤩🤩",
Received it Hot and it was delicious😋,
there is no banana in the chocolate & banana man2oucha,
It was very bad taste,
delicious,
It was good but the halloum cheese was a very small amount,
"Very bad too cold , cAme too late , delivery with no receipt and was missing one coca and i paid for it",
okay,
Food was great. Delivery guy was rude,
Bayd w Jebneh w Hotdog was cold,
Not as good as expected,
Very bad,
Food quality need to be enhanced,
Driver was late food was good but cold,
Order came cold,
Good quality fast delivery,
Was full of Mayonnaise,
Spinach was so oily Zaatar only had cheese in one half & the bread was so dry,
the food wasn't hot,
1. the delivery guy didn't have change and he was rude when I told him he should have. 2. the order was supposed to have extra cheese which it didn't! totally disappointed ☹️,
For first time the sandwich taste was weird,
warm and delicious,
I didn't receive the order yet and the runner called me to apologize that he pressed the bottom of delivered by mistake!,
"the courier needs some progress but, he is good",
there's almost no labneh and no chicken,
Delicious but cold,
He took money more than you wrote!,
elmenu delivery service late cold food driver can't find the address,
Literally order delivered in 2 hours + Not shawarma at all + Philly steak absolutely is not Philadelphian or even American. But the positive side of the matter is that the order is hot and well packaged.,
all was good,
the sandwich filling is empty and the order is cold. i do not recommend it at all,
It was all bread more than the filling itself.. And i received it cold!!,
2 hours delay Was cold,
"the fillings of the man'oucheh was half it's original portion this is not my first time eating man'oucheh, I know how it used to be. very bad experience making an offer and cutting the portion in to half",
excellent,
the chiken shawerma tast was nice but the filling was so littel.,
So cold and tasteless,
not hot,
"Unfortunately quality dropped significantly from the last time I ordered. Zaatar Man’ouche & Spinach. Both had very little fillings. It was more like flavored bread. Haloume was ok, but still not as good as it was before (same problem, stingy filling...",
I enjoyed the food and the discount ..thx,
"The filling of the manoche was so poor, I almost ate empty bread.",
excelent service,
it was good,
Sogo2 taste was bad,
A very bad experience that I’ll never try it again,
Please increase portions.,
it was wonderful,
too dry,
djeij sandwich was too salty and didn't taste good at all,
I mentioned some special requests on the order & none was taken into consideration!!!!,
shawerma lahmeh very very(10) bad and the quantity of the meat is very few with too much bread,
"the food was delicious, but the driver took 100 and when I asked for the change he said he didn't have! so I need the rest of my money (18 LE) back in my credit please!",
I ordered the lahmeh to be unrolled and it came rolled and the meat tasted very bad,
didn't arrive,
not tasty as before,
Tiny soujok inside,
order delivered 45 minutes late,
perfect but spicy and didn't wanted it spicy,
My sandwich (Djeij Special) had a small glass shard in it. Thankfully I managed to spit it out.,
"very very delicious, very close to the orifinal lebanese food. will try all the menu for sure. thank you",
"Horrible quality of food, such a shame it used to be good",
Typically very very late. Tonight they decided to not deliver but make out they were so no food after nearly hour and half. and had nerve to say I received it. it's nearly midnight now so we have no option. pathetic,
I received the food later than described and cold. not even warm just cold.. I had to take it as I was super hungry but I wouldn't make an order. mana2eesh should be hot otherwise they wouldn't be tasty. I cant heat it as it will become soggy.. I'm t...,
Terrible. The order was 2 hours late. The food was cold & tasted awful. Will never repeat this experience again.,
"This place used to be good but it's become very bad. Just got a Kofta Special and it tasted awful, the sauce and meat tasted old and rotten. Definitely not ordering from there again.",
"Food quality good, portions very very small. Also the price is high",price
Food quality is great with high value for money,
I was very impressed when I saw the quality and how delicious the food there is.,
This restaurant is always there for you no matter the circumstances. The food quality is really good and constant. مطعم جاااحد,
"I placed an order around 2:30 AM. Food was at my door 20 minutes after I’d ordered it (40 minutes early). The food was not just warm, but straight-out-the-oven-hot . Exceptional quality, flavor, and service.",
"Great quality and a great taste too loved it, Order received hot and perfectly wrapped",
Horrible delivery and horrible food really,
bread don't taste good delivery boys don't deal well prices are very high for the food.,
the chicken fajita sandwich had a piece of plastic in it.....,
"It became horrible, such a rip-off Sandwiches are totally empty, shame! I even called to file a complaint and agent didn't give a damn, he said I'll let someone from the restaurant call in minutes and they never did! Complete fiasco!",
The quality is getting worse.. we didn’t even eat the food,
"The over pries of delivery service , the food is dry too",
This is what wr recievd today when we ordered in smart village,
"HORRIBLE!!! Ordered manoucheh halloum from Americana branch, it tastes terrible. They have a very poor quality of halloum cheese and they’re adding different cheese with it. The cheese taste is awful. It has nothing to do with lebanese cuisine.",Quality
Terrible place. Worst food and worst delivery,
"Bad service, bad delivery they don't even deserve a star",
"The worst experience ever!!! Impolite, unprofessional, and RUDE. I had to wait 1:50 minutes for them to deliver it and once they arrived the food was cold I informed the customer service after the food Was already late for more than an hour and a ...",
"The worst company to order from, and worst customer service and don’t expect your food to arrive DONT ORDER",
Amazing man2ousha with chicken. It’s a bit pricey but it was huge & very satisfying & full of flavor,
Expensive for nothing,price
Its way tooo overpriced but their halloum and lehm b ajin mana2eesh is really good the ‘best’ closest thing that i ate to actual Mana2eesh here in Egypt.,price
Over rated prices!! A chicken special combo with 93 EGP that's hilarious,
Great food but sometimes taste differs,
The branch in El Rehab is not what it used to be,
Their call center staff are so slow and the order takes forever to be delivered.,
Love their sandwiches they r so rich,
Man'oucheh is one of the Best ????,
"Worst customer care/ delivery ever, I ordered from. Mohandiseen branch and it took two hours to arrive to garden city after there calls to complain, and they keep saying someone will call back for feedback,and they never did! Completely unprofessiona...",
Best pizza love it and fresh good salad too,
Turned from one of the best lebanese restaurants to one of the worst!,
"the food is mediocre at best, BUT the call center and the delivery process is extremely unprofessional! I waited for my order more than TWO hours! Granted, they did offer me dessert as a gesture that only came from the branch manager by himself. The ...",
"Worst food and delivery ever , don't waste ur time and money on this terrible fast food! The food was delivered to me in 3 hrs and half !!!!!",
"By far the DIRTIEST restaurant chain in Cairo. I Ordered Man'oucheh twice in the past 6 months and got food poisoned twice. Both times were from the same branch in Americana Plaza, Sheikh Zayed. Definitely will never order anything from this restaur...",
you should close this disgusting place with the disgusting staff members that stupid manager of yours,
worst restaurant in egypt,
Their Items are super tasty!,
"if u r hungry don't even try to call them for delivery, u'll only starve urself till ur order arrives, they say 75 minutes till order delivers but that's at best case scenarios",
pizza were amazing good taste and light good service and price,
"Good food, horrible delivery. insane delays ALWAYS!",
"good food, bad service , horrible delivery",
Worst delivery service ever!,
shawrma lahmeh is disgusting!!! and the order came super late !,
"Worst branch you can eat from is El Rehab branch m, it was terrible !!",
Found piece of glass in shawerma sandwich called them back all what they said we will see how this happen !!! Worst ever I would never order it such irresponsible people,
"Took them one whole hour to deliver an order of two man2ooshah. By the time it arrived, they were cold and stale. HORRIBLE",
Perfect food,
The delivery time is very very bad,
"I love their sandwiches but a few days ago I ordered chicken special Rd9 Maadi, next day I had a bad stomach symptoms of spoiled food. please check the freshness of your meats.",
tastes good but i find it very over priced,
Worst delivery ever. They can take up to one hour more than what they promised and of course food is cold.,
Worst meat shawerma !! Frozen!!,
"very bad food, not tasty at all, plus ingerdiants are very bad quality",Quality
El akl mesh nedeef 5ales,
Dajaj special is one of the best wraps in town .,
"I love it a lot of cheese and hot sandwiches,pizza is average focus on the sandwiches",
kofta special is the most deliciouse sandwich i ever taste from man'osha,
I love man2oshah Tuna,
It took them more than an hour and a half to get me one sandwich,
Great restaurant specially the one in heliopolis and the best one to order is the HALLOM BEEF BACON with extra spicy its like a piece from heaven,
"Good prices, nice customer service & delicious foods but its delivery take too long time.",
My fav. Place.. Best tumia,
"Got special chicken combo , the sandwich taste wasn't good , the fries was yuk (it had black spots in it and wasn't fresh at all) and finally the soft drink (which supposed to be sprite ) was more like Sina Cola",
I love their dejaj special tried many other things including kofta special but nothing beats their dejaj special they are mentaining to keep their food quality through years which is a hard thing delivery is ok shawerma not so good for dessert u can ...,
I liked most of the sandwiches here but I feel its overpriced for the food they deliver!,price
Great taste everytime Men el 7agat el olayela elli lessa m7afza 3alanafsaha,
"If your are looking for a genuine Lebanese taste, then this is not the place. Saying that, they serve a wide range or special man'ouche that one will really like.They just need to take care of there dinein guests same as there takeaway ones.Kafta is ...",
Today Maadi I tried the Shawarma Lahmeh for the first time and it was so good!I knocked off a star coz they always tend to lose track of us when we're there and we keep calling them over and reminding them of our order they're too busy with deliveri...,
"I could never order properly, although pretending to speak english, the employee took 10 minutes to get my address right and then couldn't go further. I gave up",
good,
too small pizza,
Order was very late more than 30 min late & driver wasn’t answering calls for asking what is the status of the order plus the restaurant said that order was ready for more than 1 hour,
This pizza was so horrible it doesn't even count as a pizza. The pizza is so bad it was barely eatable. What a horrible sad unfortunate experience. And the order toke 2 hours to arrive. NOT recommended.,
cold as a corpse,
small portion with a few sauce and poor taste,
the pizza was raw in the middle,
"A cheese lover’s pizza with creamy ranch sauce was flavorful, and perfectly balanced. The dough was soft and tasty, adding to the experience. The salad had good flavor too, though it wasn’t as fresh as expected.",
In the small pizza offer i got coleslaw salad instead of beans salad,
I request for Italian comming Bain,
"Margherita was super thick, mozzarella taste weird. i didn't enjoy at all. Tuna? i didn't feel the tuna in it.",
I ordered a small pizza and it was so small it shocked me!,
A bit small with less ingrid,
I ordered margherita ranch pizza and it came without ranch,
The cheese tastes very bad and crunchy this not how you eat pizza,
The food is not hot but it was delicious,
average,
The mushroom in the pizza is very bad,
the mayonnaise potato salad wasn't good,
"the delivery wasn't quick .. it took 1 and half hours to arrive since submitting the order, the size of the pizza wasn't big but the order is good for one person - the food tasted great tho.",
arrived after 40mins from the time mentioned,
Pizza very bad,
Sauce was not ranch sauce at all,
cola is missing,
amazing food and very polite driver,
After they deduct the money from my account they didn’t deliver the food to me and they refused to refund me,
taste not bad but small portions even for small pizza driver was great though,
It was very delicious,
food was delivered late and cold you don't have customer service for El Menu worst service ever I'm deleting the application,
The order delivered late and was literally cold.,
food was cold and arrived late. I'm not using this app anymore,Delivery
it arrived very late and cold.,
Thank you so much 👍,
The driver informed that the cost of the order is 591 E.P not 550 as shown in the app. And we payed 591.,
The salad was spoiled 🤮,
undercooked dough,
I have ordered ranch sauce but i didn't receive it and it was included in the cost,
Found a hair on the pizza,
cheers wasn't good at pizza,
I did not receive the salad!,
"the chicken wings were not good , plus cold. :(",
They sent me wrong pizza. I wait another 1 h and half to send me the right pizza and is extremly burned impossible to eat. Was the last time to order from this restaurant.,
the salads i ordered didn't arrive as my request,
I got 2 chicken ranch,
Arrived very late and cold.,
the 2nd time they sent the order very late and cold.,
Order was so late more than 40 minutes and the pizza arrived cold,
Or the quality I expected.,
late delivery and finally when I received it was cold and had no taste at all. very disappointed,Delivery
The pizza was raw dough!,
Good,
They failed to deliver the order as requested in every way. With bad quality 👎,Quality
That was the last time using this unprofessional app👎🏻👎🏻👎🏻👎🏻,
Food has improved quality wise from last time I've ordered. Hope it gets even better.,
the food was very cold and bad tasty,
Late delivery,Delivery
The order arrived so cold.,
"The order was canceled because it was late, the rider was rude and the pizza is cold!",
low quality,Quality
Pizza taste is very bad Pizzas are very very think Cheese quality is so poor,
perfect food late delivery,Delivery
colloslo wasn't good,
the pizza was cold by the time it arrived,
portion was very small,
Pizza is Very very small I didn’t expect that This is the last time i order pizza from you,
Great,
