comment,complaint_cluster
One of the most tasty shawarma I’ve ever tried specially the chicken,
Have nice kabab la7m,
Excellent food & service,
Tried this place? Share your experience with the community!,
The best shawerma I've ever had!,
"very tasty, so different",
"The chicken shawerma I had here was one of the worst things I've ever eaten in my life. Just simply removing the french fries would make it so much better, but still not good. If you want shawerma that actually tastes good go to El Reef El Dismashky.",
have nice shawerma but bad staff,
Their chicken shawerma sandwich's components are plainly amazing,
"Very bad, inzidd sandwitch",
best chicken and meat shawerma in alexandria,
Extremely tasty Arabian Shawerma,
Drinks not as requested even I paid extra for specific drink,
"Late delivery, cold and not fresh fries",wrong_temperature order_delay
The price was different from the restaurant and we had to call the restaurant so the driver makes sure that the price of the application was correct,
little,
juicy lucy burger came without any cheeese for the second time and the burger was very dry waste of money,
The order delivered was not the sandwich I choose on the application. I ate it anyways but it was bad and wrong order and the order was really late,order_delay wrong_order
cold fries due to putting cola in with the fries and not full. i always leave a request which is ignored.,wrong_temperature bad_service
It came very cold and the onion rings very oily,wrong_temperature
"twist fries was bad , so much oily.",
"The Burger was delicious… but the curly fries tasted very weird, soggy and oily (as if it was pre-fried then fried again and probably either an old batch or unchanged oil) I almost threw up from how bad it was.",
Very slow delivery,order_delay
The curly fries was bad,
Driver showed up 2 hours after order was placed. They're working on a refund as I didn't get a chance to accept the order,
fries were cold but burger was good,wrong_temperature
the burger was dry but taste was good..,
they listened to the comments about the order and deliver on their quality. thanks,
Orange and mango juices was expired,spoiled_food
They didn’t deliver the order,
burger was over cooked,
"The burger had burnt bits in it which seems like the grill was not cleaned properly.. and the fries are always small pieces, oily and soggy. what's up with that?",wrong_temperature
Great,
Taco Salad was very good. A little short on meat. Chicken sandwich was very good.,
"The burger tastes so bad and the smell is horrible, as if I took it out the trash. The fries are so greasy. Leaving a bad review",
missed item,
Taste of the corn dog was horrible !,
The meat has an after taste,
It took over an hour and half,
The food was cold and the wings is so bad and cold,wrong_temperature
Cold,wrong_temperature
Cold food,spoiled_food wrong_temperature
taste was good but with very small amount of filling almost 3 pcs of mushroom,
Corn dogs were too salty and soggy.,bad_taste
"Came late , onion was added to salad although I wrote a note not to add onions , one coke came instead of sprite",order_delay
"Very late delivery 2 hrs, cold food, overcooked onion rings and curly fries to the extent they were too dry. A real shame that we don’t have any service standards.",spoiled_food wrong_temperature order_delay
The worst burger ever,
good but the bread was a little dry the curly fries tastes so bad unfortunately the order took sooo long to arrive way more than the estimated time,
The beef was not fresh . It tasted like it was processed and also was not cooked well . I thought mince was my favourite until this happened .,
"The toast didn’t taste good, not enough chocolate or banana. overall it was a disappointing experience and not as good as it used to",small_portion order_delay
food tasted terrible i had to throw it away and it was also a bit cold,wrong_temperature
the order is very bad quality doesn't have all the ingredient.,
Food very oily,
Tasted so bad the meat was very bad food was cold very bad experience,wrong_temperature
Worse burger I ever had,
Food was very bad. Meat was bad and didn’t taste good at all. Buffalo chicken wings taste bad,
"Worst order ever!! The buffalo chicken tenders came without buffalo sauce, and the mice burger patty came burnt!",wrong_temperature
Quality is very very poor especially almaza branch is trash!,
Good,
"1. The sealing was a-bit teared and there was very small amount of fries left and they were burnt, i realized after receival. 2.The burger sandwich tastes awful and the bread wasn’t fresh. Very very bad experience",wrong_temperature
"Very late, freezing cold food. I'll have to microwave burgers before even tasting them.",spoiled_food wrong_temperature order_delay
Soggy bread with burger. Too much batter on chicken strips. All arrived barely warm,
order was.very bad fries were very old and not fresh burger has no taste very bad experience never again,bad_taste
"Not juicy Lucy burger, it had onions, very little portion of fries",
I didn’t receive the order through El menu because their delivery guy didn’t show up to deliver the order so thanks to mince for delivering the order direct from them The food was perfect from mince,
"Food doesn’t taste good, it was cold and wasn’t juicy",wrong_temperature
Food quality was really below standard,
Super delicious,
"delicious but unfortunately the bread breaks up easy, hard to eat it in one piece",
"Very late , food cold , fries very bad it is old",wrong_temperature order_delay
The fries taste was really bad and the sandwiches were cold,wrong_temperature
The food was good but the burger was a bit cold,wrong_temperature
the food wasn't cooked properly.,
Was too cold and humid,wrong_temperature
Portion is too small compared to price specially,
"Delivery was late, but food was awsome and fresh",order_delay
Bread is not fresh and sandwich is very dry,
Cesar salad was awful,
They refused to cancel my order after 10 minutes of ordering it and this is unacceptable,
from 1 of the top restaurant to the worst Don't order from there,
Bad,
Bread wasn’t fresh (the hotdog one),
"I only received the dessert!! And i was advised to call restaurant to follow up, and restaurant advised to talk to menus cuz its made from app!! And final resolution is to make new order and wait another order time … meanwhile fuck the customer who w...",
"The order took more than expected to be delivered and once received, the food was cold and bad.",wrong_temperature
Worst experience i had. Order was wrong and late and cold. Will never order from mince again.,wrong_temperature order_delay
Taste was not good and burger was burnt,wrong_temperature
"recieved the order very cold, sandwich is small, expensive meal wont ever order again",wrong_temperature high_price
took 2 hours and came cold,wrong_temperature
Food was cold (not even warm),wrong_temperature
The food was cold and not good at all,wrong_temperature
cold and delayed. bas experience. it seems all the recent reviews are the same,wrong_temperature order_delay
cold,wrong_temperature
The order arrived more than 50 minutes late and no one had the courtesy to call to inform me it's gonna be late or to explain why?..not recommend Mince at all!!,order_delay
Really bad meat. Frozen old patties. Overpriced and gross,poor_hygiene high_price
"Wrong order, I gave the delivery guy the order back. He stayed with me for a long until the support team gets back to him but no one contacted him, so he had to leave and I had to cancel the whole order and not to wait for the right order anymore.",wrong_order
I will never order again from this place!!!,
Cold food. Wrong item.,spoiled_food wrong_temperature
"The food was not freshly made, specially the lettuce in the sandwich was wilted",
Late delivery and the courier was rude,order_delay
Taste is too bad i cant imagine,
food was a little cold,wrong_temperature
3 of the 5 chicken wings were not done. The onion rings were overcooked. The hamburger was delicious. Very disappointed.,wrong_temperature
He was very very rude and I need to file a complaint against him and there was an item missing,
I didn’t recive the cheese cup,
firstly my order was late. secondly the buffolo sauce I ordered was missing. thirdly the food was cold and seemed to have been put outside for too long. lastly the bread of the burger was so so stale I threw the sandwich out. horrible experience.,spoiled_food wrong_temperature order_delay
The orange juice was expired ! It says on the bottle it was produced a WEEK ago ! Please check what you’re sending to the customers!!!!!,spoiled_food
food was cold,wrong_temperature
the driver was honestly so kind. i couldn't tip through the app but really he deserved it,
Order came very cold…,wrong_temperature
Was cold,wrong_temperature
Food always arrives cold,wrong_temperature
my food is literally cold…needs to be reheated…last time ordering from here,wrong_temperature
food was very cold and burger was warm at best,wrong_temperature
