username,date,title,text,rating,review_id,complaint_cluster
رحاب ا.,"يونيو 8, 2024",ممتاز,"خامة ممتازة وأداء فوق الرائع
كتبت التقييم بعد 4 شهور من استخدامه ... بجد فوق الممتاز",5.0,,
Anonymous,"مارس 29, 2025",الخامات ضعيفه,"الخامه خفيفه جدا ولا تتحمل العمل اليومي والتقفيل أسوأ ما يمكن كاني ماسك بلاستيك مش نحاس أو اي نوع تاني
 ...المزيد",1.0,,
Anonymous,"مايو 9, 2025",المنتج ثلث في استخدامه,منتج كويس بالنسبة لسعره,4.0,,
Ismail A.,"مارس 29, 2024",خامة سيئة قابلة للكسر,المنتج بلاستيكي بالكامل وليس به استانلس استيل وخفيف يمكن كسره اثناء الدوران,1.0,,
Hida H.,"يوليو 26, 2025",حقيقي رائع وشكرا لاديال استاندر كان في مشكله في الخلاط وصلحوه بدون مقابل,حقيقي رائع,5.0,,
Heba G.,"أكتوبر 1, 2023",تحفة,المنتج جيد جدا جدا جدا والسعر ملوش حل,5.0,,
Anonymous,"أغسطس 5, 2024",كويس جدا,هايل,5.0,,
محمد ا.,"ديسمبر 27, 2024",منتج رائع من بائع ممتاز وسعر ثابت لفترة طويله ونون موقع تسوق يحترم العميل ويقدم منتجات موثوق بها,كواليتي ممتاز جداااا وبائع محترم وسعر مميز وثابت ... ونون الثقة كلها,5.0,,
Hisham S.,"أبريل 28, 2025",بصراحة المنتج ابهرني,الخامة ممتازة جداً و محترم ويستحمل شغل المطبخ و مريح في التعامل بشكركم جداً,5.0,,
Anonymous,"أكتوبر 11, 2025",سيئ جدا و خفيف لا يحتمل و كان ناقص قطع,قطع جايه ناقصة و في تثبيت الارجل قطعتين ناقصين و لا يوجد ورقة جدول للتركيب,1.0,,منتج_غير_مكتمل
Anonymous,"أغسطس 12, 2025",اغلى من بره ب200ج حرام ظ,سعره عالي عن بره بـ200جـ,1.0,,السعر
Mo E.,"أبريل 25, 2024",ممتاز,المنتج خامته نظيفة ومعدن,5.0,,
Anonymous,"يوليو 1, 2025",بينقط مع اول استخدام,يوجد تسريب بماسورة التوصيل,2.0,,عيوب_تصنيع
Yessine A.,"أكتوبر 2, 2024",الجودة,كما بالوصف منتج ممتاز وجارى تجىدربته عمليا,5.0,,
Anonymous,"أكتوبر 28, 2025",ممتاز,ممتاز,5.0,,
Mohamed A.,"أكتوبر 3, 2025",مش زي الوصف,جي من غير المحبس اللي هوه اهم حاجه,1.0,,
Anonymous,"نوفمبر 1, 2023",كويس بس خرطوم قصير وبيسرب ميه,كويس,3.0,,
Mayyada M.,"نوفمبر 20, 2024",نفس الشكل مع القطع بس مجربتهوش لسة,يخد مياه اكتر,4.0,,
Anonymous,"مايو 26, 2024",Very good,Gooooooooood,5.0,,
Ahmed S.,"يوليو 15, 2025",..,"اقسم بالله سئ جدا بيسرب ميه وحاولت اكتم الميه فتره بسيطه وباظ خالص 
وهو جديد شكله حلو اه بس ع الفاضي والخامه رديئه",1.0,,عيوب_تصنيع
Anonymous,"نوفمبر 30, 2024",فى مشكله فى قطعه,فى مشكله,5.0,,
Mohamed E.,"سبتمبر 29, 2025",قيمة مقابل السعر,ممتاز جدا مقابل سعره,5.0,,
Anonymous,"أغسطس 26, 2025",جيدة,خلاط بانيو جيد من حيث الخامة والتغليف,4.0,,
ABDALLAH A.,"يونيو 8, 2023",عملى جدا وسهل التركيب,كما بالوصف,5.0,,
Mahmoud A.,"مارس 1, 2025",الخامه,المنتجات مش نحاس زي مكتوب,1.0,,
عبداللة ح.,"يونيو 23, 2024",التشطيب ممتاز,الشكل والفنش جميل,4.0,,
Anonymous,"مايو 9, 2025",المنتج ثلث في استخدامه,منتج كويس بالنسبة لسعره,4.0,,
Heba G.,"أكتوبر 1, 2023",تحفة,المنتج جيد جدا جدا جدا والسعر ملوش حل,5.0,,
Anonymous,"أغسطس 5, 2024",كويس جدا,هايل,5.0,,
محمد ا.,"ديسمبر 27, 2024",منتج رائع من بائع ممتاز وسعر ثابت لفترة طويله ونون موقع تسوق يحترم العميل ويقدم منتجات موثوق بها,كواليتي ممتاز جداااا وبائع محترم وسعر مميز وثابت ... ونون الثقة كلها,5.0,,
Hisham S.,"أبريل 28, 2025",بصراحة المنتج ابهرني,الخامة ممتازة جداً و محترم ويستحمل شغل المطبخ و مريح في التعامل بشكركم جداً,5.0,,
Abdelrahman M.,"مارس 9, 2025",سئ جدا,القطع مش مطابقة,1.0,,
Amira S.,"أبريل 5, 2024",الخامه ممتازه,ممتاز كما بالوصف,5.0,,
,12 May 2024,اشتريته ١١ الف وتم خفض السعر لنصف شي غريب ؟؟,المنتج نفس الصورة وصل,4.0,R35627U9VG5TAN,
,8 February 2025,مش احسن جودة,وصلات ضعيفة جدا و الخامة مش احسن حاجة,2.0,RBLLTLQNGAAEB,جودة_المنتج
,9 May 2024,خامه ممتازه جدا,بجد فخم جدا والتغليف روعه ، مكنتش متخيل انه بالجمال ده وكمت خايف ليطلع غير الى فى الصوره ، بجد شكرا,5.0,R8NFAG6XPWLF2,
,9 January 2025,سئ جدا 😡,المنتج ناقص حاجات كتير زي المسامير والجلده الي عند مكان الي بيغسل الكوبايات  الشاشه مش راضيه تشتغل وعملت طلب إرجاع ولسه محدش رد,1.0,R68MIFOW9FISR,منتج_غير_مكتمل
,24 March 2024,التعامل ما بعد البيع,المنتج حلو جدا و التعامل ما بعد البيع لطيف جدا,5.0,R1NXCUWLV1F9CR,
,21 July 2024,الحوض تمام لكن المصداقية فى ارسال الهدية المرفقة بالاعلان,الحوض تمام لكن الهدية لم يتم إرسالها كما هو مكتوب بالاعلان غساله اكواب اتوماتيك,3.0,R15OR7CXO3547T,
,5 February 2024,احلى حوض فى مصر مناسب لكل المطابخ ومعاة غسالة اكواب هدية,احلى حوض فى مصر مناسب لكل المطابخ ومعاة غسالة اكواب هدية,5.0,R3I3G1ADPF6AGZ,
,15 October 2023,شكله حلو بس خفيف,هو فى الشكل حلو لكن الحله صغيرة جدا جدا يعنى بتاخد كام طبق لو عائله مينفعهاش الحله دىدى عايزة اسرة صغيرة بس انا كنت مجبرة لانى مش لاقيه فى منه فى  السوق .,3.0,RDMWQQNLPZP7A,
,24 February 2023,خفيف,صاج خفيف و مطبق,1.0,R2W3WVIQYO58FH,
,7 December 2022,سؤال,هل يأتى معه الصرف؟؟,3.0,RPGPP2MQU1KKN,
,26 May 2025,,"6 ans après, je ne regrette pas mon achat.Il est très légèrement rayer si on se penche dessus. Un peu bruyant, je mettrais plus de scotch anti bruit si j'en trouvais (sûrement aussi en cause le mitigeur un peu trop haut).Par contre il ne montre aucune trace d'usure. Je déménage et j'ai besoin d'une nouvelle cuisine : c'est vers Franke que je me tourne.",,R3VK9LZYIN5ANG,
,10 May 2021,,"El fregadero es maravilloso, y al vendedor le doy un 10. Tuve una duda postventa y me respondió enseguida, el paquete llegó súper protegido. Muy contenta",,R28M1KT6EBM1II,
,17 February 2025,الصوره غير الاصل,طلبت المنتج وجاني غير الصوره خالص لا انصح بشرائه,1.0,R2ZY2XG0BADQIT,
,9 September 2025,عادى,شغال,1.0,R11K8MU0TO4ZGK,
,8 January 2023,منتج كويس بس اريد استبدالها بمقاس أصغر ٣٥ ×٤٥سم,ممكن استبدل حلة المطبخ بمقاس أصغر مقاس ٣٥ ×٤٥سم,4.0,RPMI8M0FZIG4W,
,11 August 2022,المنتج رديء وصناعة مصرية ليس تركية كما هو مكتوب,المنتج رديء وصناعة مصرية ليس تركية كما هو مكتوب,1.0,RSP2BXIP7XAIR,جودة_المنتج
,19 June 2023,كم العمق,كم سم عمق الحوض؟,3.0,R3VKCL2KOBWH42,
,2 March 2024,لم يصلني نفس الماركه المطلوبه,لم يصلني نفس ماركه المنتج المطلوب,1.0,R3E3RQFMZM0OFY,
,13 March 2022,خرطوم الصرف قصير ولم يصل للحائط,خرطوم الصرف قصير جدا جدا ولم يصل للصرف بالحائط وغير موجود لشرائه منفردا بالاسواق,5.0,R1WJIE6XQD5C2H,
,5 December 2025,كما بالوصف جيد جداً,ممتاز جداً كما بالوصف وسهل التثبيت .. جيد جداً للاحواض الكبيرة وليست المقاسات الصغيرة,5.0,RXVIJ46ULSOEZ,
,22 October 2025,الخامه,الخامه ضعيفه جدا,1.0,R3RJLU15CI07KE,جودة_المنتج
,26 January 2025,مريم,خامة كويسة انصح بالشراء,5.0,R2MO69AIVMZV04,
,25 January 2025,عدي,خامة ممتازة وسعر مناسب,5.0,R2XRRNGVF1HPJM,
,2 May 2025,ممتاز,خامة ممتازة شكرا,5.0,R2GVNUUXDUUH7B,
,26 January 2025,هدير,منتجات البائع ده ممتازة انصح بالشراء,5.0,R34CSMM9Z83SJC,
,15 April 2024,,"???
Read more",,R1Y56RP46SS3CI,
,14 February 2025,,"pas standard mais je m'ajuste je verrais bien par la suite, Robinet déjà défectueux acheter le mois d'Octobre 2024 je suis très déçu!!!...",,R1GAH5L8TLNFQE,
,31 December 2023,منتج ممتاز قيمه مقابل سعر,المنتج ممتاز وخامة محترمة والمشتملات رائعة شكرا روكا شكرا امزون,5.0,R1O8F5QNN26B5Y,
,15 September 2024,بلد الصنع والماركة وماهو سمك الاستانلس ستيل ودرجته,!؟؟,1.0,R1RNGJOU7JW7SQ,
,25 April 2023,راااائع,الحوض راااائع و المقاس مظبوط شكرا أمازون,5.0,R17MRNIFA4VNOI,
,15 June 2023,…. ماهو نوع الحوض؟. ……هل الحوض ٨٠/٥٠  سم المعلن ب ٢٣٠٠جم شامل طبق الصرف و السدادة؟,مطلوب حوض آستانلس للمطبخ,3.0,R2VZMV78N83KYM,
,30 August 2025,مشكله في المقاسات,الحوض جودته كويسه ولكن المقاس الذي استلمناه اكبر من المقاس المدون علي الموقعنرجو تصحيح الابعاد علي الموقع أو تسليم العميل المقاس المطلوبالمقاس المدون ٦٨والمقاس المستلم ٧٥وللاسف تم إرجاعه,3.0,RMJG68ZTOJ8ZI,
,17 March 2022,حوض مطبخ استانلس,40x35 ممكن مقاس ..  واحد مللي,4.0,RRCL6UBIH82N0,
,5 January 2025,منتج عملي ومثل الصوره,المنتج حلو جداااا,5.0,R1C8LZ3DIOKL29,
,6 January 2025,منتج رائع جدا,ممتاز,5.0,R2I0YHTJ9B2WTI,
,30 April 2023,بيركب في الرخامه؟,بيركب في الرخام؟,5.0,R2QJYXILMOIAA0,
,23 February 2025,غير المعروض,اللي وصل ملوش علاقة بالصور,1.0,R1K8IZDSHMM6TD,
,21 March 2025,انصح بعدم الشررررررررراء بائع غير امين,الحوض جالي ناقص الحنفيات والمقابض ومش هو نفس الموديل اللي طلبته وامازون مش رضيه ترجعه,1.0,RB03C7QY896V1,منتج_غير_مكتمل
,27 March 2025,سيء جدا,غير اصلي وبيجي ناقص الحنفيات يعني حله بس وملهاش لزمه,1.0,R2P3VQUOP1P5DX,منتج_غير_مكتمل
,7 August 2025,جوده وخامه كويسه,خامه وتشطيب محترم,5.0,RYZFVD6469ZKJ,
,25 January 2025,يونس,منتج جيد انصح بالشراء,5.0,R3L0OEB71DBZ8B,
,26 January 2025,مريم,خامة كويسة انصح بالشراء,5.0,RQMY2YEG0UWZZ,
,25 January 2025,عدي,خامة ممتازة وسعر مناسب,5.0,R33OTE1FPTC54H,
,27 August 2025,ردئ,ردئ شكله مختلف عن اللي في الصورة، وتقفيله ردئ,1.0,R1T7DYYK1BYWK,
,26 April 2025,روعة,جميل و حجم يستوعب قدر كبير من الأطباق و الحلل و شيك جدا,5.0,R3OHNS5TMCNDMU,
,20 April 2022,حوض مطبخ,المنتج جاني مخبوط من الجنب  اتواصل مع مين؟,1.0,R1W9XLETVR4RJA,
,2 February 2023,سئ جدا,منتج سئ جدا و خامه سيئة جدا ده لا يمكن يكون تركي اصلي وطلبت إرجاعه,1.0,R2N8FVZAL531RU,
,5 December 2021,ممتاز,منتج رائع كما موضح بالاعلان تماما ومعاه كل حاجته مسامير التثبيت والصرف ... حقيقى ممتاز,5.0,RGF5CVTW9NHU1,
,30 March 2025,شكرًا لك، منتج رائع!,شكرًا لك، منتج رائع!,5.0,R1V7EDALZS2SDV,
,5 November 2024,جميل جدا,ستانلس ستيل و مقاسه مظبوط حسب المواصفات لكن السعر غالى شويه,5.0,R1D4KM5T1TRQ75,
,25 September 2024,منتج جميل,منتج ممتاز غير قابل للصدا و تغليفه ممتاز,5.0,RT481GKZBXZBR,
,21 December 2024,جميل جدا,مفيد جداااا,5.0,R1323WB3EALDSA,
,28 September 2024,ممتاذ جدا تركي,منتج تركي وخامه ممتاذةشكرا للبائع,5.0,R1MCDYA6AC259N,
,24 August 2024,منتج جيدجدا,منتج ممتاز و تغليفه رائع جداو سهل الاستخدام,5.0,R1SBWN0PJMFFT8,
,30 December 2024,منتج رائع جداً,منتج جميل اوى واستخدامته عديده وكما وصفه البائع ومنتج جميل,5.0,R1VLPY62Y29DOP,
,2 January 2026,,"¡¡¡Excelente!!!
Read more",,RYUNNNGQ2TNJ8,
,12 January 2025,جه ناقص وصلات و الشاشه مش شغاله,جالي من غير وصلتين يعني في زرارين شكل بس و الشاشه مش شغاله والخامه وحشه جدا، ولما اتواصلت معاهم عشان ابدلوا معملوش حاجه و بطلو يردو,1.0,R158WYX7F5LTO1,جودة_المنتج
,30 August 2023,,"Se ve muy bonito y viene exacto como se ve en las imágenes pero si tiene algunos detalles a considerar: la instalación es un poco laboriosa si no sabes de plomeria es mejor dejarlo a manos de un experto debido a que una de las llaves (la fria) no se pudo instalar y mejor las cambie por un juego de llaves nuevo, la llave que abre y cierra el desagüe es de menor calidad de como se ve en el video (es de plástico no de metal) y el contador de temperatura y agua se apaga al usar la llave de cascada. Sin duda es buen producto pero con detalles actualizaré después de 3 meses de uso",,R3A15F95GJX85Q,
,21 August 2024,,"La tarja llego en excelente estado, con todos sus accesorios tal como en las imágenes, fácil de instalar",,R15T4YNG8HOPVD,
,14 September 2024,,"Llegó en muy buenas condiciones, todo funcionando al 100 👌",,R2H7U7OLDEI8OI,
,29 July 2025,,"Es kam schnell an, war perfekt verpackt und unbeschädigt. Es entspricht genau der Beschreibung und sieht perfekt aus. Es sieht wirklich toll aus!",,R24D882ES0XQG,
,16 November 2020,,"No lleva más de un mes usando los fregaderos ( compré dos) y ya tienen pequeñas manchas naranjas, se queda marcada todo el rastro de la cal del agua. Al ser mate se nota todo. Para ser Blanco, me han decepcionado. Me los como con patatas porque ya los tengo montados.",,R33UWFPOCCECA8,
,19 February 2018,,"Le elegí porque buscaba uno poco profundo, 21 cm, y queda muy bien. El profesional que me lo instaló me comentó que estos fregaderos eran muy buenos",,R32C3753O0DOUB,
,6 June 2024,Missing items,جالى ناقص خرطوم، و مخبوط,2.0,R3KKQJ7FW7DGCB,منتج_غير_مكتمل
,11 February 2024,,زفت,,R6XMVQCANF0MM,
,14 September 2022,حوض مطبخ حلو اوي وخامه تقيله,للأسف المقاس مختلف عن المكتوبمقاسه الحقيقي عرض ٦٠ وعمق ٥٠,3.0,R38EPAMBVY0W8R,
,11 August 2022,ايه ابعاد الحوض بالظبط دي اهم حاجة هي فين ف الاعلان !؟,ياريت معلومات كاملة,2.0,R2418JMLMDPO4U,
,30 September 2024,Very bad quality not as photo خامه رديئة ليست كما في الصور,استلمت واحده غير الي في الصورخامه رديئهماتستاهلش نص الميلغطلبت الترجيع,1.0,R35IBDXN80AAZU,
,19 March 2024,,"Muy buen producto, fácil de instalar, las medidas de las mangueras y el desagüe cuadran perfectamente con las utilizadas en Colombia, no tuve que hacer adecuaciones adicionales, todo lo que necesite para su instalación lo traía.Por mejorar: derian haber una indicación sobre el tipo de filtro de agua que se puede utilizar si quisiera uno activar la función de agua filtrada.",,RSLUOEBTVY79,
,7 July 2025,,"Excelente tamaño, lo único es que se Tapa con facilidad",,R2FWRY7UWMEG31,
,7 February 2025,ممتاز و  وعملية,ممتاز و  وعملية,5.0,R1Y1QO7LJXRNFZ,
,21 December 2024,حلوه وعمليه,منتج جيد بس على قد فلوسه ثمنه كان عامل 70 جنيهالمنتج كله من البلاستيك واتوقع هيبوظ بسرعهاندفاع المياه فيه قوي يصلح لشطف الاكواب فقط وليس غسيلهايعني كده كده هتضطر تغسل الكوب بالصابون وتدعكه كويس وبعدين تشطفه بالجهاز دهاعتقد انه اضافه جيده لتسهيل شطف الاكواب ولكن ليس اداه عمليه يمكن الاعتماد عليها بشكل اساسي,3.0,R2YX2840NFFMKP,
,24 September 2025,خامته حلوه,الخامه كويسه,5.0,R1WIS9MAAEEU12,
,5 November 2024,مفيد جدا,وصلت السلعة نفس الصور تمام,5.0,R2I9K8RRT66OMR,
,15 October 2024,جيد,مصفاه جيدة خامة كويسة,5.0,R37UOSKV6R085J,
,15 October 2024,جميل,منتج عملى ممتاز,5.0,R38SGCWEUCR2PW,
,3 November 2024,جميل,كما بالوصف والصوره,5.0,RRGOOR8TMTRY2,
,15 August 2025,٣ بوصه ومعاه الصرف بتاعه,كفاءة عاليه ٣ بوصه بالصرف,5.0,R2T71Z36NT47U9,
,5 May 2025,افضل سيفون حوض يعمل بكفائة عالية الى الان,ممتاز جدا,5.0,R1QYXLI652DMZS,
,11 September 2021,سيي,غير اللي في الصورة ونوع تأتي,1.0,R3S05IQVZK8M73,
,18 June 2023,ناقص الصرف,لا يوجد مجموعة الصرف,1.0,R1E9LDWPP5M2ZG,
,14 May 2022,الاطراف غير مستوية,اطراف الحوض غير مستوية و لو تم ااتركيب فوق الرخام ستجد الاطراف مقوسة الى اعلى,3.0,R20QRZU3KD9385,
,4 May 2023,عدم مصداقية,المنتج جاي ناقص التاجر كاتب ف الوصف حوض+صرف جاي حوض بس,1.0,R1QQFHE5ADTNRB,منتج_غير_مكتمل
,20 August 2025,,Muy bonitoNo lo he montadoPero si es lo que yo esperaba,,R1AWYJ8WZ3QUH6,
,11 September 2025,ممتازه,ممتاز جدا بتظبط الحوض وتخلي الدنيا نضيفه دايماشكرا للبائعوشكرا امازون,5.0,R1SGBZEJCTMY4I,
,12 September 2025,جيدة,جيدة,4.0,R1AT0RQ40SAPHQ,
,26 June 2025,حلو جدا و عملى,حلو جدا و عملى و مش بيخلى الحوض يتسد,5.0,R283VSMBBL7K5V,
,9 September 2024,احببته,جميل,4.0,RGXBUAYK0NTSZ,
,3 September 2025,خامة ممتازة ومنتج عملي,مطابق للصورة وخامة ممتازة,5.0,R1MJP7G845Y2MT,
,24 November 2025,,"Sieht gut aus, macht keinen Lärm.Top",,R17WTSYP0T7NIM,
,21 July 2024,,"...aber die Montage war spannend, da die Fixierung, die man von unten am Waschtisch befestigt, aus Plastik ist. Das Gewinde ist sehr fragil und hat nicht wirklich gehalten. Mit ausreichend Silikon wars kein Problem.Optisch sehr schön, funktioniert auch tadellos.",,R2094KHCJDDD0L,
,17 October 2024,,"Armatur passt sehr gut zum Aufsatzwaschbecken von Kachelmann, Höhe ist optimal. Weich laufender Bedienhebel spricht für die Qualität, ebenso der unproblematische Einbau.Auch der Ablauf mit eingebautem Stopp macht einen sehr wertigen Eindruck.",,R2DGZP2M40OZN7,
,27 May 2025,,"Joli, mais sans Qualité Zéro, aucune pièce standardisée, au bout de 3 les robinets fuient , a ne pas achetécerise sur le gâteau obligé de donné une étoile pour publier le commentaire",,R1SIF9VPU2W5PH,
,4 August 2024,,La cuve est bien mais alors tout le reste est de qualité médiocre la grille anti déchets a perdu sa peinture et a rouillé j'ai du la retirer les dessins sur les différents boutons se sont effacés la cuve a légumes commence a rouillé également ! Je suis déçue pour mon cadeau d'anniversaire qui n'était pas donné en plus on change pas ça tous les jours !,,R26WE4CVOKH8OE,
,9 July 2024,,"Cela fait 3 mois que nous l’avons installer il rouille de partout pourtant je l’essui après chaque vaisselle (sauf sur la photo j’ai pas essayer avant de les prendre) mais j’en prend soins et il est quand même arriver comme ça au bout de 3 mois j’imagine même pas dans quelque mois encore, j’ai envoyer message au vendeur il veut rien savoir il me propose rien à l’écouter faudrai limite pas laver la vaisselle pour pas qu’il rouille ce n’est pas normal qu’il soit devenu comme ça, je vous le déconseille vivement vraiment à fuir",,R1XB8DBKJ7VRCJ,
,25 February 2025,,Le mitigeur défectueux le robinet et la fontaine fuit même quand le mitigeur est fermé,,R18554CJUPAGG4,
,11 March 2024,سئ جدا,الخامة سيئه جدا والحوض خفيف جدا والثمن غالي جدا بالنسبه للخامه,1.0,R1ZC5DSR3NKLA1,السعر
,22 August 2025,اسكندريه,المنتج غير مطابق للصورة المعروضة ده اسمه غيش تجاري,1.0,R3KFWBV1R637WZ,
,21 August 2025,مصفاة سلك ردئ وليس ستانلس,ليست بالصورة أبدا,1.0,R219GJWZ0LOBWJ,
,9 November 2024,Baaaad,وصل 1بس والمفروض 2 والخامه وحشه جدا مش زي الصوره اطلاقا,1.0,RGKL8DJNN6EAJ,جودة_المنتج
,23 November 2025,المنتج عكس الصورة,المنتج غير اللي في الصورة سلك سيئ جدا,1.0,R34NS45LAH13E1,
,2 March 2020,تقييم من سوق.كوم,حوض تحفة في كل الإمكانات ومناسب جدا و مريح  حوض تحفة في كل الإمكانات ومناسب جدا و مريح حوض تحفة في كل الإمكانات ومناسب جدا و مريحإيجابيات هذا المنتج:حوض تحفة في كل الإمكانات ومناسب جدا و مريح,5.0,R2QA9UWT4LAYXW,
,27 August 2025,,"La tarja es de muy buen tamaño, por lo tanto es práctica. No se raya, es muy funcional.",,RXO53A98QX9KL,
,30 July 2025,,"El producto funciona muy bien pero no es idéntica a la que solicite, solo tener cuidado si quieres exactamente igual a la anunciada no lo es",,R2B2EHOEBX1HJ,
,1 February 2025,,Tal cuál se ve.,,RB8XZWGI1H28F,
,3 January 2026,,El fregadero muy bonito el problema que tuve que devolverlo porque el tamaño no coincidió con el espacio destinado para mi cocina ahora no sé a qué mensajería devolverlo ya que si no lo aceptan debo pagar la devolución creo que eso lo deben aclarar antes,,R2RTQVBN8ZOP9C,
,23 August 2022,سيئ وغير صالح للاستخدام لعدم وجود مستلزمات التثبيت بالشحنة,لا شيئ ، تم ارجاعه للبائع ، مضى اكثر من 10 ايام على الارجاع ولم استرد المبلغ,1.0,R3DKG7ESJWKSQ0,
,21 December 2021,المنتج عباره عن حله استانلس ورقيه بالحرف خامه لاتعرف معني الاستانلس وهذا نصب,المنتج عباره عن حله استانلس ورقيه بالحرف خامه لاتعرف معني الاستانلس وهذا نصب,1.0,R2Y5BJHIDK1RAC,
,30 November 2025,مش بتاع استخدام كتير عايز استخدام خفيف,بالنسبة للسعر معقول بس جالي المقبض بتاع الشاور مكسور,2.0,R3RROEQVY41FJK,عيوب_تصنيع
,24 July 2025,سيء,منتج سيء بكل ما تحتويه الكلمة من معنيالخلاط نفسه مخروم الغريب لماذا لا يتم اختبار المنتج قبل بيعه لا حول ولا قوة إلا بالله,1.0,R1OZNWYVX8RDGX,
,26 July 2025,ممتازة رائع خامة معقولة بالنسبة للسعر,خلاط رائع تقيل,5.0,RGDAHIJ96UFS2,
,27 August 2025,ممتازة وتقيلة ومحملة والفينش بتاعها هاااايل حلال فيها الفلوس,هايلة,5.0,ROAOX94JBQ96K,
,26 August 2024,ممتاز,خامه استانلس وقويه جدا,5.0,R1GMHNAKIQT21I,
,16 September 2025,ممتاز,ادائه ممتاز,5.0,R1MVB1B9CCPO9S,
,23 September 2025,منتج سيئ جدا وبيشر ميه من كل حته,لا انصح بالشراء بايظ وبيشر من كل حته ومفيش معاه اي حاجه خلاط فقط باااايظ من اول ماركب,1.0,R3CC4HFO741NAS,
,26 January 2025,مريم,خامة كويسة انصح بالشراء,5.0,RB68Y2RVALHDR,
,28 July 2025,المنتج ناقص مسطرة الدش,تم تسليم المنتج ناقص مسطرة الدش,2.0,R2FBO0API8ZK7O,منتج_غير_مكتمل
,31 July 2025,الماسورة بتاعت الشاور قصيرة مفيش وصلة,الماسورة قصيرة مفيش وصلة تطولها,3.0,RZL2Q8J5QKRLZ,
,11 July 2025,بيجي معاه سماعه دش ولا خلاط بس,بيجي معاه سماعه دش ولا خلاط بس؟,4.0,R3VNJOOG56MJG7,
,25 January 2025,عدي,خامة ممتازة وسعر مناسب,5.0,R2E784Q6NXUP46,
,27 August 2025,ممتازة وتقيلة ومحملة والفينش بتاعها هاااايل حلال فيها الفلوس,هايلة,5.0,ROAOX94JBQ96K,
,26 August 2024,ممتاز,خامه استانلس وقويه جدا,5.0,R1GMHNAKIQT21I,
,14 November 2025,الجودة والسعر شكرا امازون,جيدة والسعر رائع شكراً امازون,5.0,R9NIJ18A7LTL6,
,9 October 2025,غير مطابق للوصف,المنتج غير مطابق حيث أن بياناته 8سرعات قابل للتعديل،وهو في الحقيقه 4سرعات😔,1.0,R3BSF93PCFZXKI,
,29 July 2025,ممتاز,ممتاز جدا وخامة جيدة جدا,5.0,R1RCXQK6PEGEQA,
